Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"РАДУГА, ФОНД",1096600000276.0,2009-01-30 00:00:00,Действующая,Свердловская область,Благотворительные фонды,2021,,844000.0,916000.0,,8000.0,102000.0,,,,,,11000.0,102000.0,127000.0,,,,,,,,,328000.0,385000.0,,,,,,
"РАДУГА, ФОНД",1043700095394.0,2004-10-25 00:00:00,Действующая,Ивановская область,Благотворительные фонды,2021,,52000.0,56000.0,,17000.0,15000.0,,,,,,,32000.0,32000.0,,,,,,,,,52000.0,,,,,,,
"РАДУГА, ФОНД",1102202003980.0,2010-10-25 00:00:00,Действующая,Алтайский край,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА, ФОНД ПОДДЕРЖКИ ДТБ",1111800000234.0,2011-02-17 00:00:00,Действующая,Удмуртская Республика,Общественные фонды,2021,,1000.0,261000.0,,,260000.0,,,,260000.0,,,260000.0,260000.0,,,,,,,,,1000.0,,,,,,,
"РАДУГА, ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ МБОУ ЛИЦЕЙ Г. ЗЕРНОГРАДА",1136100006723.0,2013-11-18 00:00:00,Действующая,Ростовская область,Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА, ФОНД РАЗВИТИЯ И ПОДДЕРЖКИ МБОУ ДОНСКОЙ СОШ",1146100002729.0,2014-08-11 00:00:00,Действующая,Ростовская область,Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУШИЕ, ФОНД РАЗВИТИЯ МДОУ №92",1113000000442.0,2011-05-30 00:00:00,Действующая,Астраханская область,Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДХАНИ, БФ ПОДДЕРЖКИ ДЕТЕЙ",1131600005404.0,2013-12-05 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИВАЙСЯ, ДЕТСКИЙ САД!, ФОНД",1156600003251.0,2015-12-15 00:00:00,Действующая,Свердловская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИТИЕ АВТОМОБИЛЬНОГО, МОТОЦИКЛЕТНОГО СПОРТА И ТУРИЗМА, МОО БФ",1085000001734.0,2008-02-29 00:00:00,Действующая,Московская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИТИЕ АНИМАЦИИ И КИНЕМАТОГРАФИИ, ДРОБФ",1090500000557.0,2009-06-02 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИТИЕ АЭРОКОСМИЧЕСКОГО ОБРАЗОВАНИЯ РЕСПУБЛИКИ ТАТАРСТАН, РОФ",1141600003522.0,2014-10-08 00:00:00,Действующая,Республика Татарстан,Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИТИЕ БОРЬБЫ, ФОНД",1185476007639.0,2018-02-07 00:00:00,Действующая,Новосибирская область,Благотворительные фонды,2021,,234000.0,229000.0,44000.0,51000.0,2000.0,,,,,,1000.0,2000.0,53000.0,,8000.0,,,,,,8000.0,,190000.0,,36000.0,,,,
"РАЗВИТИЕ БОУ СОШ № 109 С УИОП, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1135543005036.0,2013-02-07 00:00:00,Действующая,Омская область,Благотворительные фонды,2021,,494000.0,588000.0,,,284000.0,,,,284000.0,,,284000.0,284000.0,,,,,,,,,43000.0,451000.0,,,,,,
"РАЗВИТИЕ ГИМНАЗИИ № 19, БФ",1105500000429.0,2010-03-23 00:00:00,Действующая,Омская область,Благотворительные фонды,2021,,1598000.0,2225000.0,,,881000.0,,,,,,,881000.0,881000.0,,,,,,,,,90000.0,,,,,,,
"РАЗВИТИЕ ГИМНАЗИИ № 31, НБФ",1075900004454.0,2007-05-17 00:00:00,Действующая,Пермский край,Благотворительные фонды,2021,,,,,,8000.0,,,,,,,,8000.0,,,,,,,,,,,,,,,,
"РАЗВИТИЕ ГОРНОЙ ШОРИИ, ГБФ",1154200000118.0,2015-02-19 00:00:00,Действующая,Кемеровская область,Благотворительные фонды,2021,,1903000.0,1903000.0,,,,,,,10000.0,,,,10000.0,,,,,,,,,,1903000.0,,,,,,
"РАЗВИТИЕ ГОРОДА ВОЛГОДОНСКА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1206100040563.0,2020-12-22 00:00:00,Действующая,Ростовская область,Благотворительные фонды,2021,,12221000.0,274000.0,,,53000.0,,,,51000.0,,2000.0,53000.0,53000.0,57000.0,,,,,,264000.0,207000.0,,12207000.0,,,,-16000.0,,41000.0
"РАЗВИТИЕ ДГТУ, ФОНД ЦЕЛЕВОГО КАПИТАЛА",1106100002470.0,2010-11-24 00:00:00,Действующая,Ростовская область,Фонды,2021,,26287000.0,27604000.0,,64000.0,50000.0,,,,24186000.0,,9000.0,22827000.0,24195000.0,-9000.0,,,,,,,9000.0,407000.0,21839000.0,,,,,,-9000.0
"РАЗВИТИЕ ДЗЮДО И САМБО ТРИУМФ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1025600581423.0,2001-06-18 00:00:00,Действующая,Оренбургская область,Благотворительные фонды,2021,,1185000.0,860000.0,,,670000.0,,,,835000.0,,,510000.0,835000.0,,,,64000.0,,,,,662000.0,299000.0,,,,,,
"РАЗВИТИЕ ЖИЗНИ, ФОНД",1117800017675.0,2011-12-08 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАЗВИТИЕ И ИНТЕЛЛЕКТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1073900001669.0,2007-04-23 00:00:00,Действующая,Калининградская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,1000.0,1000.0,,,,,,,,
"РАЗВИТИЕ И ПОДДЕРЖКА ГПОУ НТТТ, БФ",1164200050739.0,2016-06-27 00:00:00,Действующая,Кемеровская область,Благотворительные фонды,2021,,479000.0,53000.0,,,,,,,,,,9000.0,,,,,,,,,,,479000.0,,,,,,
"РАЗВИТИЕ КАБАРДИНО-БАЛКАРИИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1160700050312.0,2016-07-22 00:00:00,Действующая,Кабардино-Балкарская Республика,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
