Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"КРЫМСКАЯ ВЕСНА, БФ",1167700063365.0,2016-08-30 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,214000.0,500000.0,,291000.0,1000.0,,,,,,,286000.0,292000.0,,,,,,,,,14000.0,200000.0,,,,,,
"КСЕНИИ, ФОНД",1227700252317.0,2022-04-28 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КСЕНИЯ, БФ",1177700014293.0,2017-09-07 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КТИТОР, ФОНД",1037731010283.0,2001-04-10 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КТО СКАЗАЛ ГАВ, БФ",1227700271655.0,2022-05-12 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КТО, ЕСЛИ НЕ Я?, БФ",1077799011630.0,2007-06-09 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,8942000.0,5853000.0,,52000.0,3910000.0,,,,3910000.0,,68000.0,3910000.0,3978000.0,,,,,,,,,471000.0,8471000.0,,,,,,
"КУЗНЕЦКИЙ МОСТ, ФОНД",1117799022880.0,2011-11-14 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,752000.0,207000.0,,134000.0,196000.0,,,,3555000.0,,311000.0,3555000.0,3866000.0,222000.0,,177000.0,,222000.0,,,,15000.0,492000.0,,,,,,178000.0
"КУЛАК ДОБРА, БФ ИМЕНИ АЛИ БАГАУТИНОВА",1207700279929.0,2020-08-07 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРА БЕЗ ГРАНИЦ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700274095.0,1997-06-23 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРА БЛАГОТВОРИТЕЛЬНОСТИ, БФ",1227700248918.0,2022-04-27 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРА ДЕТСТВА, ФОНД",1117799006247.0,2011-04-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,645000.0,1143000.0,,,,5014000.0,,417000.0,,5430000.0,,,,,,,,,,,,,,,,
"КУЛЬТУРА И ВОЗРОЖДЕНИЕ, РОФСВК",1037700068141.0,1999-09-24 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРА И ИНИЦИАТИВА, РОФ",1037739163406.0,1997-12-16 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРА И ОБРАЗОВАНИЕ В ЭКСТРЕМАЛЬНЫХ УСЛОВИЯХ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700588244.0,2001-08-02 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КУЛЬТУРНО-БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ЭКШН,1207700368259.0,2020-10-06 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКИЙ ФОНД ИМ. А.А. СУРКОВА, ФОНД",1137799011239.0,2013-05-30 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРНОЕ НАСЛЕДИЕ, ДБФ",1027700497274.0,1994-05-24 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУЛЬТУРНОЕ НАСЛЕДИЕ, РОФ ПДТ",1047746008310.0,2004-06-23 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,300000.0,3072000.0,,,,3372000.0,,,,3372000.0,,,,,,,,,,,,,,,,
"КУЛЬТУРНОЕ НАСЛЕДИЕ-ДЕТЯМ, БФ",1157700004131.0,2015-03-27 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,700000.0,70000.0,,,,,,,,,,,,,,,,,,,,,700000.0,,,,,,
"КУЛЬТУРНЫЕ СЕЗОНЫ, БФ",1137799011932.0,2013-06-10 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,64091000.0,65148000.0,,1026000.0,2371000.0,,,,2433000.0,,1289000.0,3522000.0,3722000.0,,,,,,,,,1579000.0,62512000.0,,,,,,
"КУЛЬТУРНЫЙ ЦЕНТР МИД РОССИИ, ННБФ",1037739501249.0,1995-12-20 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
МЕЖДУНАРОДНЫЙ ФОНД К.С. СТАНИСЛАВСКОГО,1037700160827.0,2003-02-07 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,4390000.0,4390000.0,2000.0,4944000.0,25000.0,,,8197000.0,-8000.0,,9137000.0,,17326000.0,-8000.0,-8000.0,,,,,,,,4390000.0,,10000.0,,,,-8000.0
"КУЛЬТУРЫ И ЗАЩИТЫ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ, ФОНД",1067799024435.0,2006-09-14 00:00:00,Действующая,Москва,Общественные фонды,2018,147000.0,10800000.0,18808000.0,5287000.0,186000.0,1477000.0,,,59222000.0,13652000.0,,3585000.0,6268000.0,151460000.0,147000.0,147000.0,,,,,,,2048000.0,8751000.0,,5140000.0,,,,94000.0
"КУНДУЗ 149, БФ ВБД",1187700023906.0,2018-12-26 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУПОЛ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799005949.0,2012-04-02 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУРКИНО, ФОК",1037739356270.0,1997-06-04 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КУСОЧЕК СЧАСТЬЯ ДЛЯ БЕЗДОМНОЙ КОШКИ, БФ",1207700170996.0,2020-05-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КЫРГЫЗСТАН, ФОНД",1057748075769.0,2005-09-02 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"КЭС-ФОНД, БФ",1217700374870.0,2021-08-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАБА, ФОНД",1177700014425.0,2017-09-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
"ЛАВ ЭНИМАЛС, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799025298.0,2012-12-05 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАВКА РАДОСТЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700001730.0,2018-01-29 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,13538000.0,15218000.0,,186000.0,1555000.0,,,,1679000.0,,44000.0,1680000.0,1743000.0,17000.0,,17000.0,,17000.0,,,,1785000.0,11753000.0,,,,,,17000.0
"ЛАВР И ВЕРБА, БФ",1187700011950.0,2018-07-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАДА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1137799008577.0,2013-04-23 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,1141000.0,,,73000.0,122000.0,,,,64000.0,,148000.0,-1003000.0,212000.0,,,,,,,,,79000.0,1062000.0,,,,,,
"ЛАДА, БФСП",1167700052541.0,2016-02-18 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАДУШКИ, ФОНД",1037739706003.0,2002-02-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАЗАРЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1077799022025.0,2007-10-02 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,82000.0,84000.0,,,2000.0,,,,2000.0,,,2000.0,2000.0,,,,,,,,,,80000.0,,,,,,
"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ РОССИЙСКОГО ФОНДА ВЕТЕРАНОВ (ПЕНСИОНЕРОВ) ВОЙНЫ, ТРУДА И ВООРУЖЕННЫХ СИЛ",1037739494913.0,1995-08-24 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,56000.0,,,,1792000.0,-1598000.0,,46000.0,,240000.0,33000.0,,,,,,228000.0,195000.0,,,,,,46000.0,,-13000.0
"ЛАЙОНС КЛУБ (КЛУБ ЛЬВОВ), БФ",1217700009966.0,2021-01-19 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РОССИЙСКИЙ ФОНД МИЛОСЕРДИЯ И ЗДОРОВЬЯ, ОБОФ",1037739224280.0,1991-03-18 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,2000.0,,46000.0,,,,,652000.0,,12000.0,-21000.0,642000.0,,,,,,,,,,,,,,,,
"ЛАНГСДОРФА, ФОНД",1067746348416.0,2006-03-06 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАНТА-МЕЧТЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799013812.0,2014-08-22 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,447000.0,507000.0,,30000.0,186000.0,,,,218000.0,,,218000.0,218000.0,,,,,,,,,7000.0,428000.0,,,,,,
"ЛАПА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1167700065081.0,2016-09-20 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАПЫ В РУКИ, ФОНД",1167700064212.0,2016-09-09 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛАСКОВЫЙ ЗВЕРЬ, БФ",1037724046249.0,2003-08-25 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,24000.0,,,,,,24000.0,,544000.0,-17000.0,,,,,,,17000.0,,,,,,,,-17000.0
"ЛАЮШКИ И МЯУШКИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1217700299607.0,2021-06-24 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕГИОН, ФОНД",1027739722504.0,1997-12-18 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕДИКА, БФ",1147799008246.0,2014-05-26 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СВ. АЛЕКСАНДРА НЕВСКОГО,1127799010349.0,2012-05-30 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,414000.0,307000.0,,5000.0,1267000.0,,,,6481000.0,,,2976000.0,6481000.0,1685000.0,,307000.0,,,,1685000.0,,27000.0,,,,,,,1685000.0
"ЛЕМНИСКАТА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700379211.0,2001-06-01 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,5804000.0,5827000.0,,2000.0,446000.0,,,,7782000.0,,4000.0,444000.0,7786000.0,,,,,,,,,240000.0,5431000.0,,,,,,
"ОБЩЕСТВЕННАЯ АЛЬТЕРНАТИВА, МОФ",1067799011433.0,2006-03-28 00:00:00,Действующая,Москва,Общественные фонды,2018,,480000.0,236000.0,,213000.0,452000.0,,,,725000.0,,85000.0,725000.0,810000.0,,,236000.0,,,,,,480000.0,,,,,,,
"ЛЕОПОЛЬД, БФ",1177700005361.0,2017-03-28 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕПТА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1037739282294.0,1997-12-19 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕСНОЙ ПРИЮТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ЖИВОТНЫМ",1107799022275.0,2010-07-26 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕСТВИЦА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700000370.0,2015-01-14 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЕЧИМ ВМЕСТЕ, РБОФ",1037739535690.0,1999-05-06 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,24315000.0,31631000.0,,560000.0,15924000.0,,,,21108000.0,,748000.0,21108000.0,21856000.0,3732000.0,,,,317000.0,,5104000.0,1689000.0,2636000.0,20219000.0,,,,10000.0,,3722000.0
"ЛИГА ВЕТЕРАНОВ, МОФ",1037739526362.0,2000-08-17 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИГА ШКОЛЬНОГО СПОРТА, ФОНД",1047796491885.0,2004-07-07 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИДЕР, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700018420.0,2015-11-18 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,14742000.0,14799000.0,,75000.0,50000.0,,,,83000.0,,327000.0,82000.0,409000.0,,,,,,,,,2119000.0,12623000.0,,,,,,
"ЛИДЕР, БФ СОДЕЙСТВИЯ КУЛЬТУРЕ И СПОРТУ",1077799030627.0,2007-11-28 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,10000.0,,,,,,,10000.0,,10000.0,,,,,,,,,,,,,,,,
"ЛИДЕР, РОФ",1147799004627.0,2014-03-27 00:00:00,Действующая,Москва,Общественные фонды,2018,,39000.0,,,,,,,,,,,,,,,,,,,,,39000.0,,,,,,,
"ЛИДЕР, РОФ СРДВС",1027746001250.0,2002-10-15 00:00:00,Действующая,Москва,Общественные фонды,2018,-27000.0,171000.0,,3771000.0,69000.0,435000.0,,,367000.0,144000.0,,552000.0,961000.0,1611000.0,-63000.0,-27000.0,,,,,18000.0,54000.0,,171000.0,,3798000.0,,108000.0,,-171000.0
"ЛИДИЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799024121.0,2012-11-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИК, Б/Ф",1037739305053.0,1999-07-27 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,108000.0,23000.0,,,117000.0,,,14000.0,,131000.0,-15000.0,,,,,,,15000.0,,,,,,,,-15000.0
"ЛИНАРО. СПАСЕНИЕ И ПОМОЩЬ ЛОШАДЯМ, БФ",1197700005161.0,2019-04-03 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИНГАУ, БФ",1217700268488.0,2021-06-07 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИНИЯ ЖИЗНИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СПАСЕНИЯ ТЯЖЕЛОБОЛЬНЫХ ДЕТЕЙ",1087799004468.0,2008-02-13 00:00:00,Действующая,Москва,Благотворительные фонды,2018,18568000.0,371671000.0,434554000.0,18568000.0,1990000.0,444710000.0,,,,447175000.0,,725000.0,445422000.0,448494000.0,30317000.0,18568000.0,29408000.0,291000.0,11749000.0,,,,28628000.0,303623000.0,,,,,,29407000.0
"ЛИНИЯ ПОМОЩИ, БФ",1217700191191.0,2021-04-20 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИНИЯ СЕРДЦА, БФ",1177700020574.0,2017-11-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИЦОМ К ДОБРУ, БФ",1027700505117.0,1995-05-15 00:00:00,Действующая,Москва,Благотворительные фонды,2018,886000.0,,,2398000.0,2471000.0,10000.0,,,,347000.0,82000.0,75000.0,,3165000.0,81000.0,188000.0,,,,,,107000.0,,,,1512000.0,,16000.0,616000.0,65000.0
"ЛИЦОМ К ЛИЦУ, БФ",1157700020390.0,2015-12-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛИЧНОЕ УЧАСТИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799009360.0,2012-05-15 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,4415000.0,3260000.0,,916000.0,3116000.0,,,,3965000.0,,31000.0,3965000.0,4032000.0,,,,,,,,,1031000.0,3381000.0,,,,,,
"ЛОНДЖЭВИТИ, ФОНД",1117799010284.0,2011-06-02 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,7827000.0,1133000.0,385000.0,,,,1274000.0,,213000.0,,1517000.0,1229000.0,1321000.0,,,,,,92000.0,,,,6506000.0,,118000.0,,1111000.0
"ЛОСИНЫЙ ОСТРОВ, ЭКОЛОГИЧЕСКИЙ ФОНД",1037700198909.0,1998-07-10 00:00:00,Действующая,Москва,Экологические фонды,2018,,141000.0,,,,,,,,,,,,,,,,,,,,,,141000.0,,,,,,
"ЛС, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1047796388837.0,2004-06-02 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУКОЙЛ, БФ",1037736006560.0,1993-08-16 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,640661000.0,854792000.0,,4601000.0,568923000.0,,,,575623000.0,,1454000.0,572083000.0,577077000.0,17748000.0,,,,17752000.0,,,4000.0,98701000.0,541960000.0,,,,3550000.0,,14197000.0
"ЛУЧ НАДЕЖДЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799004079.0,2012-03-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУЧ НАДЕЖДЫ, БФ",1167700050320.0,2016-01-14 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ПОДДЕРЖКИ И РАЗВИТИЯ МУЗЫКАЛЬНОГО ОБРАЗОВАНИЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1087799004996.0,2008-02-22 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,2774000.0,2749000.0,,9000.0,10000.0,,,,,,70000.0,-50000.0,727000.0,,,,,,,,,2277000.0,497000.0,,,,,,
"ЛУЧИ СЕРДЦА, БФ",1207700318946.0,2020-09-01 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУЧИК НАДЕЖДЫ, НБФ",1077799007880.0,2007-04-16 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУЧИК СЧАСТЬЯ, БФ",1147799011810.0,2014-07-28 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУЧШЕЕ-ДЕТЯМ, БФ",1157700006243.0,2015-05-07 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,2936000.0,2450000.0,,,564000.0,,,-56000.0,601000.0,,19000.0,564000.0,564000.0,-13000.0,,,,,,,13000.0,462000.0,2474000.0,,,,,,-13000.0
"ЛУЧШИЕ ДЕТИ, РБФС ДСО",1037739561089.0,2001-08-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛУЧШИЕ ДРУЗЬЯ, БФ",1107799013520.0,2010-04-29 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,11610000.0,11940000.0,,138000.0,1195000.0,,,,743000.0,,591000.0,743000.0,1334000.0,,,,,,,,,6006000.0,4144000.0,,,,,,
"Лучшие рестораны XXI века, РОФСРОРБ",1027739763061.0,2000-04-10 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЬВИНОЕ СЕРДЦЕ, БФ",1227700121131.0,2022-03-04 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЬНЯНОЙ СОЮЗ, МОФ",1187700020837.0,2018-11-30 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБАВА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1207700341529.0,2020-09-17 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБАКС, НО МЕЖДУНАРОДНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1067746493561.0,2006-04-13 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБИМЫЙ ГОРОД, НО БФ",1047796401520.0,2004-06-04 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБЛЮ ЖИЗНЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1137799013329.0,2013-07-11 00:00:00,Действующая,Москва,Благотворительные фонды,2018,515000.0,,,515000.0,454000.0,171000.0,,,37000.0,13000.0,,611000.0,,669000.0,16000.0,36000.0,,,,,,20000.0,,,,,,3000.0,479000.0,13000.0
"ЛЮБОВЬ БЛИЖНЕГО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1227700001550.0,2022-01-10 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБОВЬ И ПРИЗНАТЕЛЬНОСТЬ, БФМ",1177700005988.0,2017-04-10 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮБОВЬ К ЖИЗНИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799010677.0,2014-07-04 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮДИ – ЛЮДЯМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700022388.0,2018-12-24 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮДИ БУДУЩЕГО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1217700625174.0,2021-12-21 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮДИ НЕБА, БФ",1107799024486.0,2010-09-02 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЛЮДИ-ДОБРЫЕ, БФ",1187700009584.0,2018-05-28 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,10000.0,3000.0,,,,-56000.0,,,,14000.0,67000.0,62000.0,,,,,,5000.0,,,,,,,62000.0,67000.0
"ЛЮДИ-МАЯКИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1227700133825.0,2022-03-14 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ СЕРГЕЯ ШПИЗА,1157700020917.0,2015-12-25 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,1675000.0,719000.0,,,148000.0,,,,148000.0,,,149000.0,148000.0,,,,,,,,,,1650000.0,,,,,,
"М.Л. РОСТРОПОВИЧА, ФОНД",1037739448097.0,2001-02-20 00:00:00,Действующая,Москва,Общественные фонды,2018,9298000.0,57332000.0,85350000.0,13973000.0,2814000.0,19225000.0,39000.0,,,36310000.0,,8230000.0,36310000.0,44540000.0,9329000.0,9298000.0,7464000.0,,,,2000.0,10000.0,3332000.0,54000000.0,,4675000.0,,1866000.0,,7463000.0
"МАГИСТР, ФОНД СОДЕЙСТВИЯ РАЗВИТИЮ ОБРАЗОВАНИЯ",1047746000290.0,2004-02-02 00:00:00,Действующая,Москва,Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ В ОХРАНЕ И РЕКОНСТРУКЦИИ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ,1107799008030.0,2010-03-03 00:00:00,Действующая,Москва,Благотворительные фонды,2018,,4000.0,4000.0,,,,,,,,,,,,,,,,,,,,4000.0,,,,,,,
